hy,nd_id,fl_id,value
276,1,17,43.92
276,2,17,29.39
276,3,17,41.53
277,1,17,44.86
277,2,17,28.98
277,3,17,36.31
278,1,17,45.0
278,2,17,29.49
278,3,17,32.37
279,1,17,45.8
279,2,17,28.99
279,3,17,33.53
280,1,17,43.32
280,2,17,34.41
280,3,17,41.31
281,1,17,46.95
281,2,17,31.69
281,3,17,47.89
282,1,17,46.42
282,2,17,29.59
282,3,17,48.42
283,1,17,42.68
283,2,17,27.61
283,3,17,41.89
284,1,17,43.97
284,2,17,15.55
284,3,17,35.24
285,1,17,45.27
285,2,17,14.91
285,3,17,37.44
286,1,17,41.93
286,2,17,9.1
286,3,17,35.0
287,1,17,40.88
287,2,17,9.27
287,3,17,33.04
288,1,17,37.99
288,2,17,10.42
288,3,17,26.56
289,1,17,37.02
289,2,17,11.16
289,3,17,26.29
290,1,17,36.57
290,2,17,10.71
290,3,17,17.44
291,1,17,36.54
291,2,17,11.26
291,3,17,11.26
292,1,17,41.0
292,2,17,11.69
292,3,17,22.29
293,1,17,43.92
293,2,17,21.05
293,3,17,33.78
294,1,17,47.97
294,2,17,32.37
294,3,17,44.94
295,1,17,48.6
295,2,17,34.21
295,3,17,49.04
296,1,17,48.05
296,2,17,28.47
296,3,17,49.64
297,1,17,46.92
297,2,17,26.07
297,3,17,48.1
298,1,17,46.91
298,2,17,23.74
298,3,17,46.95
299,1,17,46.23
299,2,17,23.73
299,3,17,46.04
300,1,17,46.94
300,2,17,23.76
300,3,17,43.38
301,1,17,46.9
301,2,17,25.62
301,3,17,36.48
302,1,17,46.07
302,2,17,28.91
302,3,17,33.05
303,1,17,46.63
303,2,17,34.13
303,3,17,34.13
304,1,17,45.98
304,2,17,42.16
304,3,17,43.03
305,1,17,47.98
305,2,17,41.99
305,3,17,49.22
306,1,17,47.01
306,2,17,37.91
306,3,17,46.38
307,1,17,42.98
307,2,17,31.41
307,3,17,42.44
308,1,17,43.3
308,2,17,29.91
308,3,17,33.36
309,1,17,44.3
309,2,17,27.02
309,3,17,33.97
310,1,17,37.92
310,2,17,18.36
310,3,17,31.39
311,1,17,42.01
311,2,17,13.25
311,3,17,34.58
312,1,17,40.04
312,2,17,15.02
312,3,17,29.67
313,1,17,39.15
313,2,17,11.99
313,3,17,27.49
314,1,17,39.58
314,2,17,13.68
314,3,17,21.3
315,1,17,39.57
315,2,17,13.91
315,3,17,15.59
316,1,17,42.0
316,2,17,16.26
316,3,17,18.9
317,1,17,44.62
317,2,17,27.32
317,3,17,34.78
318,1,17,46.93
318,2,17,31.62
318,3,17,48.0
319,1,17,49.97
319,2,17,34.74
319,3,17,47.79
320,1,17,49.94
320,2,17,32.41
320,3,17,48.14
321,1,17,49.64
321,2,17,29.71
321,3,17,45.5
322,1,17,49.49
322,2,17,30.32
322,3,17,45.03
323,1,17,47.12
323,2,17,29.7
323,3,17,45.5
324,1,17,46.91
324,2,17,29.28
324,3,17,40.81
325,1,17,47.11
325,2,17,30.63
325,3,17,42.04
326,1,17,46.96
326,2,17,35.61
326,3,17,38.94
327,1,17,46.98
327,2,17,37.8
327,3,17,41.15
328,1,17,48.45
328,2,17,44.69
328,3,17,48.93
329,1,17,49.99
329,2,17,43.23
329,3,17,50.99
330,1,17,48.56
330,2,17,34.51
330,3,17,50.94
331,1,17,44.95
331,2,17,29.44
331,3,17,44.99
332,1,17,44.68
332,2,17,27.96
332,3,17,38.62
333,1,17,45.09
333,2,17,23.73
333,3,17,39.54
334,1,17,41.95
334,2,17,16.29
334,3,17,38.92
335,1,17,35.1
335,2,17,24.36
335,3,17,30.44
336,1,17,35.1
336,2,17,21.59
336,3,17,24.91
337,1,17,35.03
337,2,17,15.46
337,3,17,22.67
338,1,17,35.05
338,2,17,15.44
338,3,17,16.87
339,1,17,35.06
339,2,17,15.43
339,3,17,15.43
340,1,17,42.03
340,2,17,15.47
340,3,17,16.05
341,1,17,45.06
341,2,17,27.69
341,3,17,32.33
342,1,17,46.0
342,2,17,33.89
342,3,17,48.62
343,1,17,46.08
343,2,17,34.79
343,3,17,49.01
344,1,17,46.08
344,2,17,30.9
344,3,17,47.58
345,1,17,46.08
345,2,17,29.97
345,3,17,45.94
346,1,17,46.4
346,2,17,29.42
346,3,17,46.54
347,1,17,46.44
347,2,17,27.02
347,3,17,45.46
348,1,17,46.29
348,2,17,26.18
348,3,17,42.94
349,1,17,46.17
349,2,17,26.53
349,3,17,38.18
350,1,17,46.07
350,2,17,28.21
350,3,17,35.54
351,1,17,46.1
351,2,17,29.37
351,3,17,35.68
352,1,17,46.09
352,2,17,32.54
352,3,17,41.66
353,1,17,47.37
353,2,17,32.67
353,3,17,50.45
354,1,17,46.04
354,2,17,30.49
354,3,17,49.47
355,1,17,45.95
355,2,17,28.32
355,3,17,42.98
356,1,17,45.88
356,2,17,22.05
356,3,17,35.42
357,1,17,45.79
357,2,17,19.01
357,3,17,35.49
358,1,17,41.91
