nd_id,ca_id,swhy_vl,hy,price_eur_mwh,volume_mwh
1,0,yr2015,500,49.39,2657.7
1,0,yr2015,501,48.06,2781.4
1,0,yr2015,502,46.3,2710.5
1,0,yr2015,503,42.89,2524.2
1,0,yr2015,504,42.45,2718.5
1,0,yr2015,505,42.11,2668.7
1,0,yr2015,506,42.02,2989.3
1,0,yr2015,507,39.65,2985.8
1,0,yr2015,508,42.3,2903.2
1,0,yr2015,509,47.94,2333.9
1,0,yr2015,510,55.75,2573.2
1,0,yr2015,511,60.89,3001.2
1,0,yr2015,512,61.78,2960.9
1,0,yr2015,513,62.85,2940.8
1,0,yr2015,514,62.04,2776.6
1,0,yr2015,515,55.81,2424.1
1,0,yr2015,516,53.36,2830.6
1,0,yr2015,517,53.44,3098.1
1,0,yr2015,518,53.92,3090.1
1,0,yr2015,519,53.94,3203.1
1,0,yr2015,520,58.33,3021.3
1,0,yr2015,521,61.8,3205.7
1,0,yr2015,522,58.65,2760.1
1,0,yr2015,523,51.78,2811.2
1,0,yr2015,524,50.8,2684.8
1,0,yr2015,525,49.02,2802.0
1,0,yr2015,526,46.26,2820.9
1,0,yr2015,527,42.5,2589.7
1,0,yr2015,528,41.95,2700.6
1,0,yr2015,529,39.26,2825.7
1,0,yr2015,530,36.01,2972.8
1,0,yr2015,531,35.11,3001.5
1,0,yr2015,532,37.95,2864.4
1,0,yr2015,533,45.94,2556.4
1,0,yr2015,534,51.98,2446.9
1,0,yr2015,535,59.75,2889.6
1,0,yr2015,536,58.95,3018.0
1,0,yr2015,537,60.28,3096.4
1,0,yr2015,538,56.98,3100.0
1,0,yr2015,539,53.33,2939.0
1,0,yr2015,540,52.4,2941.9
1,0,yr2015,541,50.93,3154.9
1,0,yr2015,542,50.52,3242.8
1,0,yr2015,543,50.45,3272.9
1,0,yr2015,544,55.22,3350.9
1,0,yr2015,545,57.1,3242.9
1,0,yr2015,546,55.09,3248.4
1,0,yr2015,547,49.6,2603.1
1,0,yr2015,548,46.54,2453.6
1,0,yr2015,549,47.4,2471.0
1,0,yr2015,550,45.32,2689.7
1,0,yr2015,551,44.78,2067.4
1,0,yr2015,552,41.3,2103.4
1,0,yr2015,553,38.47,2251.5
1,0,yr2015,554,37.39,2352.9
1,0,yr2015,555,35.8,2707.3
1,0,yr2015,556,36.29,2756.7
1,0,yr2015,557,39.06,2315.9
1,0,yr2015,558,44.33,2256.7
1,0,yr2015,559,45.34,2110.5
1,0,yr2015,560,47.94,2075.2
1,0,yr2015,561,47.97,2184.9
1,0,yr2015,562,46.55,2187.3
1,0,yr2015,563,44.43,2262.8
1,0,yr2015,564,40.01,2073.9
1,0,yr2015,565,39.07,2269.4
1,0,yr2015,566,40.99,2622.1
1,0,yr2015,567,42.45,2695.6
1,0,yr2015,568,47.46,2985.9
1,0,yr2015,569,49.93,2879.5
1,0,yr2015,570,48.99,2548.4
1,0,yr2015,571,45.9,2496.0
1,0,yr2015,572,44.47,2868.0
1,0,yr2015,573,44.96,2469.7
1,0,yr2015,574,42.93,2306.5
1,0,yr2015,575,42.16,2100.7
1,0,yr2015,576,38.68,2287.7
1,0,yr2015,577,35.91,2336.7
1,0,yr2015,578,31.59,2402.4
1,0,yr2015,579,30.01,2351.8
1,0,yr2015,580,30.79,2204.9
1,0,yr2015,581,31.36,2299.5
